Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
287,32,1706,2.677,14.73,25.13,69,2571,1,MG112,Drumondville
288,32,1702.6,2.677,13.07,22.24,61,2506,0,MG112,Drumondville
289,32,1740.8,2.677,14.04,24.45,70,2587.5,0,MG112,Drumondville
290,32,1715.8,2.677,15.07,25.86,72,2587.5,0,MG112,Drumondville
291,32,1687.2,2.677,15.24,25.72,70,2657.5,0,MG112,Drumondville
292,33,2150.4,2.76,3.31,7.12,32,2008.15,0,MG20,Montréal
293,33,2128.5,2.76,4.16,8.85,39,2044.25,0,MG20,Montréal
294,33,2170.5,2.76,5.33,11.56,54,2066.05,0,MG20,Montréal
295,33,2184.6,2.76,5.97,13.04,63,2231.45,0,MG20,Montréal
296,33,2080.1,2.76,8.17,16.99,69,2435.5,0,MG20,Montréal
297,33,2064,2.76,9.01,18.59,74,2619,0,MG20,Montréal
298,34,1706.5,2.729,3.42,5.83,16,2015,0,MG112,La Tuque
299,34,1704.6,2.729,6.82,11.63,31,2092.5,0,MG112,La Tuque
300,34,1725.4,2.729,7.75,13.36,36,2179,0,MG112,La Tuque
301,34,1704,2.729,18.68,31.83,85,2594,1,MG112,La Tuque
302,34,1788,2.729,14.51,25.93,75,2546,1,MG112,La Tuque
303,34,1847,2.729,13.02,24.05,74,2619,1,MG112,La Tuque
304,34,1847,2.729,16.72,30.87,95,2849,1,MG112,La Tuque
305,34,1788,2.729,13.38,23.93,69,2548.5,1,MG112,La Tuque
306,34,1788,2.729,15.46,27.64,80,2809,1,MG112,La Tuque
307,34,1776,2.729,12.73,22.6,65,2520,1,MG112,La Tuque
308,34,1776,2.729,17.85,31.7,91,2816,1,MG112,La Tuque
309,34,1744.8,2.729,10.87,18.97,53,2379,0,MG112,La Tuque
310,34,1830.6,2.729,13.26,24.27,74,2504,0,MG112,La Tuque
311,34,1792.9,2.729,13.4,24.03,70,2584,0,MG112,La Tuque
312,35,2091.6,2.668,3.78,7.9,37,2029.5,0,MG112,La Tuque
313,35,2141.1,2.668,5.08,10.87,55,2171,0,MG112,La Tuque
314,35,2165.6,2.668,6.22,13.48,72,2164.5,0,MG112,La Tuque
315,35,2140,2.668,7.6,16.25,82,2555,0,MG112,La Tuque
316,35,2086.4,2.668,8.42,17.58,81,2399,0,MG112,La Tuque
